sentiment,text
negative,فرنسيه تاعك طربڨ  😅  😅فات شهر والو
negative,واش انتم ولاد فرنسا
negative,قنوات الجزاير بدون ترجمه نتوما خير سبوره والله كارثه
negative,جاز شهر ماكانش الاسعار كيما قلتو علاه تكذبو
negative,اللغه الفرنسيه تجري عروقهم لاحول قوه الا بالله
negative,روح رنك تهدر بالفرنسيه
negative,اخبث مله الاتراك يدخلو تغلا تفسد اشهرها حديد البناء
negative,قلو اهدر بالعربيه ولدي الحركي الموسخ
negative,مزلنا نهدرو برك بالخرنسيه
negative,هدا تاع جاك برك راه يهدر فرونسي تاع فرسفاكن معرف باه يهدر هه عربيه راحت راهي طيب شربه
negative,فهش الفرنسيه او الانجليزيه يروح يتعلم، بركاو تقودو علينا، براهش شي، العربيه تفقهوا والو
negative,عليكم اللعنه انتم لغتكم الفرنسيه قواوده
negative,التمنيك ،اهدر بالعربيه روح تعطي
negative,استغفر الله يهدر بالفرنسي يهديك ربي اهدر بالعربيه
negative,ميرفش حتا يهدر تركي مشي جزاءري
negative,why french ?  speak in arabic amazigh or english so that people can understand you  👎  👎  😤  😤
negative,ديرو فرنسا 🇫🇷الله يقطعكم
negative,حوجي علي الفرونسي تاعو شغل جدك راه يهترف وانت حاب تفهمو واش راه يقصد بصح الحمد لله فهمناه وجاك حاجه متينه وميلعبوش بخبزتهم هه
negative,راه يهدر لفرانسيس قناه فرنسيه وليس الجزاءرين لغتهم العربيه كلاب فرنسا لعنه الله عليكم يجب اصدار قانون يجرم استعمال لغه اجنبيه قنوات الداخل الموجهها للجزاءرين
negative,السيد حتا فرونسي مهوش قادر عليها راه يتعصر  😅
negative,عيب عيب امام الدول جزاءري ولايوجد حرف عربي انت تخاطب الشعب الفرنسي
negative,البغوله يخممو علي اللغه ليهدرو
negative,وين العربيه فرانسا
negative,شكون هاذا حمار
negative,زعما انت اللي حاب تقنعنا بلي جاك ماركه مليحه روح العب بعيد
negative,وهذو وين راكم داسينهم الكذب علي ناس
negative,صاحب شركه امين اوتو تركي الجنسيه يعرف العربيه خاصه ان معظم شعل العاصمه يتحدث الفرنسيه لوم
negative,وكيل اعمال شركه يتكلم لغه البلد المسوق المنتج وانتاوعنا كشغل اجانب عربيه هويه
negative,لغه الفرنسيه راهي تبكي
negative,راه يتعذب الفرونسي  😅  😅  😂  😂  😊
negative,راك عذبتها الفرنسيه مرمدتها
negative,النيك ماتكم اهدرو بلعربيه لكلاب النقوشا
negative,صح مافهمت والو بصح قنعني الصراحه
negative,وجوه الهم ولاد فرنسا
negative,مدام المتفرنسين راهم حاكمين زمام الامور الجزاءر مانتوقعش الخير هدا البلاد
negative,هذاك لبغل عندو 10 سيارات روحي الجزاءر روحي المفروض يطبقو القانون تع اين ؟  المهم الناس لينتهزو الفرص يستغلو الزواوله يشري بالرخيص يبيع بالغلي الله تربحكم سماسريه ربي شوهلكم خلقتكم مغلطش تفوه عليكم ياولاد لحرام تاكلو السحت انشاء الله
negative,احتساب الرسوم المتحركه هه
negative,الشخص تركي يهدر الفرنسيه علاجال وجوه الشر هذو
negative,قلبي خرج معاه ولفرونسي تاعو
negative,نعلمكم ان الشعب الفرنسي يشعر بالارتياح الان
negative,تكلم عربي واشبيك تشوفيها كبيره حشمان اصلك ياعطيك روينا
negative,بريزانطي  😂 ياودي اهدر العربيه واش داك للواد منلخر درك نترجملكم راه يقلكم تركبو الشعر ليعندو 300 مليون يتفظل وقالكم مايهمش السعر لان جاك دات جوده عاليه بلمختصر الا راكم تسناو جاك ب150 مليون فوتوها  😂  😂 هاذا واش قالكم مسيو بريزانطي
negative,اهدرو بالعربيه الله يلعنكم
negative,تركي    بركاو متلعبوها تعرفو  😂  😂
